time,close
20240224,5930
20240226,5560
20240227,5610
20240228,5540
20240302,5520
20240303,5480
20240304,5810
20240305,5910
20240306,5540
20240309,5490
20240310,5450
20240311,5370
20240312,5260
20240313,5110
20240316,5210
20240317,5010
20240318,5190
20240324,5460
20240325,5680
20240326,5750
20240327,5660
20240330,5590
20240402,5470
20240403,5690
20240406,5410
20240407,5420
20240408,5760
20240409,5660
20240413,5370
20240414,5370
20240415,5410
20240416,5360
20240417,5310
20240420,5610
20240421,5730
20240422,5640
20240423,5510
20240424,5400
20240427,5340
20240428,5310
20240429,5290
20240430,5120
20240501,5120
20240505,5120
20240506,5100
20240507,5000
20240508,4990
20240511,5255
20240512,5190
20240513,5073
20240514,5039
20240515,4965
20240518,4905
20240519,4586
20240520,4586
20240521,4571
20240525,4522
20240526,4509
20240527,4455
20240528,4460
20240529,4481
20240601,4414
20240602,4414
20240605,4414
20240608,4401
20240609,4394
20240610,4439
20240611,4464
20240612,4540
20240615,4553
20240616,4539
20240618,4599
20240619,4631
20240622,4683
20240623,4690
20240624,4690
20240626,4707
20240629,4696
20240630,4595
20240701,4626
20240702,4743
20240703,4696
20240706,4968
20240707,5188
20240708,5199
20240709,5275
20240710,5264
20240713,5120
20240714,4910
20240717,5130
20240720,5290
20240721,5220
20240722,5190
20240723,5220
20240724,5200
20240727,5160
20240729,5080
20240730,5240
20240731,4990
20240803,4873
20240804,4870
20240805,4869
20240806,4868
20240810,4866
20240811,4865
20240812,4865
20240813,4865
20240814,4835
20240817,4866
20240818,4945
20240819,4936
20240820,4978
20240821,5059
20240824,5050
20240826,5070
20240827,5060
20240828,5100
20240831,5160
20240901,5230
20240903,5330
20240907,5480
20240908,5640
20240909,5630
20240910,5760
20240911,5910
20240914,5990
20240915,6010
20240916,6080
20240917,6120
20240918,6240
20240922,6110
20240923,6210
20240924,6380
20240925,6510
20240928,6510
20240929,6500
20240930,6500
20241001,6450
20241002,6440
20241005,6440
20241006,6440
20241007,6440
20241008,6420
20241009,6420
20241012,6250
20241013,6070
20241014,5990
20241015,6020
20241016,6150
20241019,6130
20241020,6130
20241021,6070
20241022,6040
20241023,5990
20241026,6080
20241027,6260
20241028,6430
20241029,6370
20241030,6340
20241102,6460
20241103,6490
20241104,6310
20241105,6360
20241106,6370
20241109,6530
20241110,6690
20241111,6870
20241112,7010
20241113,7210
20241116,7410
20241117,7500
20241118,7570
20241119,7410
20241120,7190
20241123,7000
20241124,6950
20241125,7080
20241126,7280
